age,clv_score,avg_balance,monetary_volume,mortgage_outstanding,activity_intensity,investments_aum,recency_days,category
20,11830.71,3838.638649518955,3055.16,67763.29369436571,12,8316.456618839245,59,FXTransfer
64,38542.3,32091.95445018304,6798.84,60321.90682371535,8,5169.082296801626,35,SavingsAccount
21,77480.12,40039.46068080904,808.98,21279.13770893849,11,1043.135239390793,21,FXTransfer
43,17890.31,7224.209547598496,1077.12,83850.72741147468,8,27316.78764728309,23,FXTransfer
58,46792.12,10181.18184213747,9077.49,27619.1985006112,9,4853.602738297436,18,SavingsAccount
22,36990.79,6102.402301433147,13222.56,0.0,5,2080.782297957446,134,FixedDeposit
56,45590.43,7498.640545218626,3051.95,99015.57885738612,9,18933.68204010981,46,CreditCard
68,20389.18,7804.558123090434,7941.55,61843.85470615096,14,5832.321304056984,187,FixedDeposit
26,37148.28,11405.81984331243,14109.98,0.0,9,19764.88264101026,293,Insurance
31,53418.08,32360.63093034321,3400.7,0.0,8,3493.524370377198,179,Insurance
50,92814.15,28033.94962016809,3603.18,0.0,7,8006.272884531196,273,InvestmentFund
38,38047.66,17357.71323312282,1135.77,56447.20403829007,9,6243.730095743711,282,FixedDeposit
49,63159.25,40605.94646094429,11948.51,0.0,9,15302.01525853172,365,DebitCard
35,41597.95,31022.60320866526,10088.07,0.0,16,7977.683808746249,37,SavingsAccount
47,20612.62,38918.7571374515,8976.48,0.0,14,7358.848222135771,190,FXTransfer
73,20433.93,69019.24789954793,544.83,77590.45113314906,9,2570.493083898288,91,FixedDeposit
44,43267.27,34400.30241718408,3440.8,48434.82816163295,13,8943.137404499616,180,FixedDeposit
67,81270.34,9223.426470287695,746.88,0.0,12,4821.072622940148,40,FXTransfer
71,10746.87,30914.7358385297,3672.85,60371.7258962655,9,9260.175481992492,345,Insurance
54,80104.58,8271.184956460196,10520.04,56810.80884474659,14,3792.778327720974,45,FXTransfer
40,82460.27,18506.07027982266,1574.35,0.0,11,9961.260106948183,52,SavingsAccount
57,23711.53,30783.44434523139,1132.48,0.0,6,14141.67123550382,94,PersonalLoan
59,23857.17,50653.53977766186,2020.26,103341.6413249186,5,2761.087744413324,107,DebitCard
63,34273.05,9817.369442280838,1367.12,22734.00427935837,15,21122.16236216201,144,Insurance
41,39147.43,21945.68530804496,9077.93,0.0,10,11458.81484303464,146,FixedDeposit
32,24410.7,55180.54066782826,942.5,54473.5870658963,11,10713.97118050242,83,FixedDeposit
25,38161.18,7585.354029022168,5587.56,0.0,6,6958.605642639754,342,CreditCard
25,14736.7,68233.71627910392,11583.4,28879.34853139253,11,7063.388112424866,353,DebitCard
73,79170.59,20933.36744559931,1912.31,45986.89506254705,11,32738.12980719919,364,SavingsAccount
42,34957.78,12031.58480269809,2708.0,134834.1552296291,9,7843.93076655834,184,PersonalLoan
24,15286.65,18866.72463637983,5275.99,60648.7283168186,13,2909.737861586214,221,InvestmentFund
62,79099.57,24511.46045397326,1077.71,0.0,9,7788.377383001118,279,SavingsAccount
62,42934.46,50891.54203603876,3034.71,57297.4422273751,13,7665.042063183143,54,Insurance
62,41417.93,30081.25738041315,9271.35,33666.9953361368,11,5020.846441913143,107,PersonalLoan
54,48884.35,36437.12835846343,4037.78,0.0,9,1071.145182326884,200,CreditCard
51,22647.05,40077.79991323313,7186.15,43717.5123552444,9,400.1964158453387,44,InvestmentFund
33,48399.94,6187.996440816452,9549.87,0.0,12,6237.391418430839,296,FixedDeposit
59,10068.52,19805.63309211934,13317.34,0.0,9,4941.757061973418,264,PersonalLoan
21,23154.56,17734.38789874889,20239.83,118307.9613521309,10,2088.645438291343,54,InvestmentFund
29,94959.01,12185.54431935229,9036.26,46390.60269041473,14,3830.727568863023,223,FixedDeposit
66,14929.7,8640.594876289259,3850.74,136368.9155426896,9,14446.50912555933,5,InvestmentFund
47,27365.04,17868.55533150198,14093.15,0.0,13,2982.433539557532,88,Insurance
42,45108.09,5432.308718370681,1488.28,0.0,10,3871.113644789927,124,FixedDeposit
62,29297.95,19281.59818743441,4655.86,68053.33366098022,10,3289.312809164884,176,CreditCard
27,16812.22,20663.54029524849,1258.96,0.0,14,8978.603541419672,158,CreditCard
52,12037.83,27621.44349958552,2752.11,108205.5714534058,8,7513.872634583999,197,FixedDeposit
64,25274.44,9284.654406827241,1525.38,0.0,7,5080.606870082047,307,FXTransfer
68,80585.99,48124.79753776504,465.21,0.0,10,561.0469891654285,179,InvestmentFund
27,46681.95,26520.11232541202,3800.37,67310.35625409725,15,5156.471219042479,47,SavingsAccount
42,13369.17,10812.69730680769,4602.02,30381.26144794791,13,3291.456693893479,349,SavingsAccount
23,22092.02,10323.77975365367,2276.1,48346.98683000167,7,2437.026020200829,65,SavingsAccount
49,19175.78,42651.24163332884,2619.54,113815.9748020338,9,10304.64936925635,287,Insurance
19,76789.38,2445.903251463078,2962.28,0.0,6,31620.87885796657,158,FXTransfer
48,76118.96,9762.12617145046,4693.08,16372.25672844537,17,6858.269222335484,266,SavingsAccount
74,7953.96,24767.2320453098,1341.75,65007.06707672875,11,10761.76013984278,138,CreditCard
31,86232.76,8645.5244722486,3113.23,44621.29665236277,13,4035.681814648916,325,DebitCard
40,44372.85,27481.9707607571,12479.91,0.0,12,3783.544895964713,81,PersonalLoan
60,27382.82,32921.45274108401,1091.69,42084.6385065721,12,2972.676571554136,295,FixedDeposit
61,11707.51,7233.716013445902,9651.09,59311.52970306138,7,19393.93854650298,364,PersonalLoan
20,43052.82,37318.34876371648,9345.03,55131.81472795566,14,11205.20060197502,180,SavingsAccount
75,22416.84,8637.936962250731,2757.67,145521.9595560568,11,6686.685375296441,79,Insurance
36,36270.29,62147.69836928864,1922.08,0.0,8,2559.33796798282,107,InvestmentFund
21,52981.15,28964.03038417047,2304.31,0.0,15,21616.18669214329,162,DebitCard
56,84317.95,9783.12317403963,1900.57,0.0,9,3942.654531845928,167,CreditCard
39,32973.97,32826.15979659964,5073.31,0.0,11,4810.10906539571,40,FixedDeposit
69,37056.64,36655.42512752006,4225.15,66976.27023683106,13,13709.68096236687,103,CreditCard
33,30958.27,12898.28330463877,7200.85,0.0,11,5097.801332483916,244,SavingsAccount
30,31313.38,14983.35212588884,2866.17,0.0,12,8079.575294582351,245,FixedDeposit
53,54951.03,57465.35971923578,19116.81,48688.93917665246,6,21712.71269617541,283,FXTransfer
63,47576.45,16914.40749222367,2724.72,0.0,16,14363.74172900427,27,DebitCard
73,22959.08,30713.19538539506,5404.36,40187.03531614532,11,11588.07109543486,270,FixedDeposit
73,51427.33,9195.575077407482,11932.6,0.0,8,6889.413358430837,184,CreditCard
30,107163.91,27094.57084642839,3939.44,33741.97113724988,10,6485.229619987674,4,SavingsAccount
43,25430.01,16495.55281953472,4395.77,33260.19152733053,7,7141.750805185447,180,PersonalLoan
30,36245.11,24226.23730352397,6343.29,0.0,6,4909.779193300002,106,Insurance
18,38812.16,58167.28331803864,5009.59,157848.2607051308,5,3061.071583603822,112,CreditCard
64,7537.84,40550.48947539953,1083.85,91280.95992022182,13,6436.003874786253,293,PersonalLoan
33,102485.65,53769.21481493283,2456.57,29130.05067453906,7,15175.39597026682,100,FXTransfer
62,23744.27,31263.43540182854,401.68,82054.51633765729,9,1232.833123277394,96,CreditCard
75,64733.52,19924.63735463857,6961.69,151498.1798093294,12,18740.86226001804,315,FixedDeposit
73,99042.25,22156.9075566705,2976.94,71190.20593927984,8,2579.959994156527,155,FXTransfer
45,53138.16,5910.7343899323,1514.68,62099.19432188418,7,16100.54352747171,172,SavingsAccount
44,31545.67,44098.12553083756,1390.17,0.0,8,7723.049375720788,322,FixedDeposit
20,41510.68,58427.48896058137,4536.44,18392.60740123903,8,8892.010677957669,228,SavingsAccount
48,73660.59,25352.7329330123,11584.18,89383.18158559912,11,18800.92993453718,22,CreditCard
60,109229.22,26824.56430854328,10744.62,44160.13604519534,5,21863.19425459448,176,SavingsAccount
63,27809.99,3690.525314187882,1379.51,50370.97348998965,7,7884.646675801985,253,PersonalLoan
54,99654.22,5569.547092094563,2707.36,0.0,10,16564.21463254673,294,InvestmentFund
19,35515.66,18257.95547653082,8085.91,0.0,10,9625.971771969527,359,FixedDeposit
75,39342.14,49572.47660023964,10565.66,68329.70793873914,3,10411.59234339798,165,InvestmentFund
24,81746.77,9181.916110034299,4551.42,0.0,13,5810.467462714947,18,SavingsAccount
41,14917.02,12911.68662783845,13280.14,0.0,12,10539.70242819101,199,PersonalLoan
64,19321.93,23541.61149700558,1441.08,0.0,8,2897.102162892988,170,Insurance
27,17411.79,21334.87454057518,598.31,52053.74983324723,11,10063.76915511604,338,FixedDeposit
23,30725.8,10532.35621388221,3942.32,46153.77357337408,6,4809.545623164739,314,FXTransfer
69,37096.81,7597.431287380814,4417.63,43033.97369620789,11,7149.445412409487,30,FixedDeposit
51,30206.72,35224.88576562364,8583.7,100042.2647441647,16,5832.679601676807,254,DebitCard
61,20999.06,57462.05244802012,574.44,53034.85349084855,7,13018.58485500557,328,DebitCard
70,31642.27,27317.95753697876,6111.7,27968.95116370685,11,6733.93043973418,343,CreditCard
35,28962.99,27765.71962686513,1568.11,139629.2022262599,10,6052.979411012764,316,Insurance
22,13873.16,17337.31531044633,10955.65,48297.45365887824,11,5411.122258297582,120,PersonalLoan
38,55627.64,23199.2933915092,2696.14,0.0,13,18672.46011069506,3,Insurance
32,27844.46,13421.41239206778,2668.96,0.0,7,3082.834834466494,13,DebitCard
39,44178.19,69832.2856705855,2547.93,0.0,12,5980.39939235707,171,SavingsAccount
41,29372.63,8475.836446738951,12569.72,102327.3963597812,9,5952.576272517692,3,Insurance
53,25405.64,11562.94610301233,6502.55,78497.98215752387,17,11105.20108985327,267,PersonalLoan
39,36163.04,59622.16651548575,2401.69,35236.49470313329,9,7843.088203006185,324,DebitCard
18,30130.27,17328.29395331299,2900.41,53931.6848666398,6,8948.764663403319,301,SavingsAccount
56,34539.99,15835.46626568612,9260.08,159010.4459674349,11,13736.2171115503,80,PersonalLoan
62,15268.24,34937.37217158114,7483.84,27354.87884912954,4,1208.86846364741,210,PersonalLoan
46,23042.48,3745.566279320825,1375.64,0.0,8,3270.142071490151,117,InvestmentFund
58,58080.36,13243.18211211265,1640.77,0.0,10,8452.477911566271,152,FXTransfer
49,57681.53,51642.47736530504,794.84,66991.44163401556,15,5551.580806894449,141,CreditCard
63,52927.48,17953.31483552001,2433.29,77623.26007982867,12,2184.526101100073,170,SavingsAccount
74,58415.78,21398.94426473294,9881.45,90232.34075181575,11,8579.365982540252,116,FixedDeposit
62,82751.47,57445.51646542671,5585.58,64875.21820855685,8,15305.3737936863,220,PersonalLoan
68,38943.6,62495.59338297122,8305.28,65632.05380567221,7,6248.552361419485,180,FixedDeposit
25,46843.38,40046.7447014539,6695.29,0.0,12,3726.035956635787,59,Insurance
41,46615.66,22940.748990397,8399.32,23464.48327203107,13,2576.884868573232,301,CreditCard
68,20508.66,39000.52885628782,2670.64,36373.6003386853,9,4684.140648401022,343,Insurance
63,14103.53,28916.45828160029,2649.13,45658.52709273168,13,11064.49821676233,361,FXTransfer
26,26058.13,21255.21104884022,2013.54,0.0,10,10683.64775582501,23,DebitCard
27,17616.76,32038.50331762387,16975.3,38522.44895669191,7,7953.892644664936,326,FixedDeposit
48,5313.09,28660.47475446318,2339.99,70270.55883729726,7,17513.91897993408,97,SavingsAccount
57,27013.54,47698.75967806488,1085.97,0.0,10,5168.189853519826,87,PersonalLoan
28,53841.33,12794.95451152442,2327.46,27193.06585276682,10,793.6498624539331,271,SavingsAccount
56,31460.81,20588.99612312631,6487.8,40162.62231924342,7,2191.940038239551,302,FixedDeposit
52,60121.27,21010.06501713589,8159.26,53284.84264879503,10,3838.869449350983,45,DebitCard
52,50227.49,16266.57372071008,5154.54,125057.1479132136,11,18200.53329514058,147,DebitCard
28,34820.14,16481.19269121058,11052.61,99612.76870058883,14,5111.757947471577,199,SavingsAccount
40,32215.2,43829.3921198271,16319.09,0.0,12,9678.304475295923,22,InvestmentFund
25,9926.84,16265.69956880473,2966.24,60384.11202228985,5,1664.684482784327,175,FixedDeposit
52,54844.43,29295.06560533363,14843.15,78018.481210276,13,3542.507006799455,2,CreditCard
41,8303.87,11952.50986416451,5539.58,37826.05707352852,11,6611.126937079541,249,DebitCard
67,29743.83,20002.34322255216,2460.35,57588.88234274845,10,15875.37136800345,238,InvestmentFund
74,52507.78,22584.36155841031,2974.16,41312.73754705671,10,2152.831501271297,218,FXTransfer
72,34415.12,25243.45295768092,4313.4,130109.211770426,9,13099.72171902275,42,SavingsAccount
69,27035.94,8042.33657198657,10268.84,46201.31521981856,11,9164.73551986605,36,PersonalLoan
29,52990.66,30877.38654879887,14117.83,0.0,6,2625.492716390009,354,CreditCard
22,85853.86,9666.955122738258,1809.45,68605.03754472366,8,5642.853365253864,178,CreditCard
52,12970.91,8870.191622508146,7083.63,41291.83322603586,11,8463.864794225412,64,CreditCard
54,7133.43,11979.41066818922,446.65,95750.67696578414,8,3087.108080837978,55,FixedDeposit
20,58008.42,43849.8493249291,827.2,0.0,9,10243.07581041,193,Insurance
61,38835.62,17254.77821541448,1862.65,89660.96567485087,10,19168.88317871865,197,CreditCard
70,39023.49,10027.95269739618,1785.4,25827.15380828716,10,4211.052411987222,321,Insurance
29,92117.12,4243.582284791536,7495.96,97972.47055974111,10,6326.453333705307,233,FXTransfer
43,77169.32,18063.88456366309,4455.13,115695.5398699246,10,8685.976453905883,91,FXTransfer
70,46893.52,18688.35915281355,1103.05,0.0,11,11270.8693562716,121,PersonalLoan
32,37120.72,14698.07521572014,14514.54,31182.92544687514,12,7982.002469920928,86,DebitCard
75,84664.8,43835.52720485221,8593.47,0.0,6,3026.918124700419,244,CreditCard
38,56345.17,19272.32040628232,7957.65,0.0,9,15421.44096751676,359,FixedDeposit
72,53027.44,40555.6341291323,14296.38,0.0,6,15885.07730916048,109,PersonalLoan
28,37457.04,15828.47658617667,5569.08,0.0,8,12049.91985291359,178,Insurance
32,79869.32,7891.026092970445,3924.26,46199.35681247601,11,22635.12886962005,76,FixedDeposit
27,13289.42,24994.80347136586,1074.85,46839.6821781512,10,2588.45178755191,14,DebitCard
65,35095.44,41617.69155829385,2424.58,79198.7765650593,12,6764.351923363881,288,CreditCard
34,36905.01,68219.22094218334,3253.96,40650.0639280637,7,6888.297497197532,153,PersonalLoan
33,33879.95,19799.06139413849,3402.42,36177.39119707078,9,12954.98819807149,52,InvestmentFund
67,22363.66,5641.043896459189,1533.49,0.0,3,10540.06126189833,243,Insurance
27,63751.43,65232.01314480635,2939.96,57235.81393150376,4,2726.753785747956,281,CreditCard
43,13807.18,21531.48490098004,5271.61,102779.9441211886,7,3777.123638868502,42,PersonalLoan
51,20544.34,25829.65341305127,9896.94,29552.98270819868,9,3408.914211249851,261,SavingsAccount
69,29180.06,9741.057487565726,5197.87,0.0,11,3469.850111425231,203,Insurance
50,67663.9,17374.27252730666,5425.79,49879.13978866483,14,6856.643908354515,210,SavingsAccount
61,70132.58,21228.45031056545,4580.01,88959.88093804747,3,3181.205003194015,45,FixedDeposit
72,86188.86,8047.217594441586,7207.9,0.0,7,2933.40933459084,64,CreditCard
72,31121.17,7645.71519124347,2353.8,0.0,18,4845.075401941001,290,DebitCard
57,15407.48,65817.79142004476,5564.58,56673.91747423395,13,2574.752290059937,164,PersonalLoan
25,33677.48,33080.00316944329,2631.9,76449.60300370699,11,3643.728231340168,282,InvestmentFund
52,11251.17,13619.26079224438,4518.44,27165.75953552989,5,3109.007573391581,52,FXTransfer
31,82461.79,70483.9336009102,7948.24,0.0,11,10451.21515210532,351,Insurance
26,22981.54,55639.94134430947,4209.82,44892.68836085818,12,9213.967064769342,339,FXTransfer
74,30665.4,19028.29637570091,3901.31,25934.64630136159,6,7025.305864441128,163,DebitCard
40,23723.6,60788.59884581836,3489.24,41969.23887551458,10,4353.498115186365,305,CreditCard
61,17529.23,12450.64753697985,6348.08,0.0,8,5135.705570960729,330,DebitCard
57,28565.23,31905.94458393184,777.82,87027.38955434626,11,16901.9652392401,116,DebitCard
31,101530.6,34062.4886413417,1965.48,0.0,11,4481.465634767629,192,SavingsAccount
18,16433.5,3535.215769387588,6922.62,46644.75967915773,8,6838.736810515979,24,DebitCard
45,23314.71,13272.32995199083,3282.03,0.0,7,6814.515057479199,349,PersonalLoan
33,27120.38,25874.01517132558,5324.02,74922.79322805493,11,13031.92860243608,314,CreditCard
